seedling_tag,block_id_plot_id,cohort,quadrant,date,tree_sp,status,environment,microsite,diameter_mm,height_cm,ground_bare,ground_ash,ground_litt,ground_rock,ground_basal,ground_wood,ground_other,ground_total,cover_tree,cover_shrub,cover_forb,cover_gram,cover_fern,cover_lupin,shrub_1_cover,shrub_2_cover,shrub_3_cover,shrub_4_cover,shrub_2m_cover,cover_total,shrub_1_sp,shrub_2_sp,shrub_3_sp,shrub_4_sp,shrub_2m_sp,notes,qaqc_done,qaqc_notes,order,paper,collection,square_number,tree_species,qaqc,live_status_spring2024,newgrowth_mm,duplicate,recorder,live_status_spring2024_dnf_did_not_find,new_growth_cm,genetics,dup_id
1123,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,PILA,Dead,Open,0,2.7,22.8,85,0,10,5,0.01,0,0,100,0,10,0.01,0,0,5,5,5,0,0,0,15,CEIN,RULE,NONE,NONE,NONE,"no tag, presued 1123 because of flagging and location",FALSE,"ground cover total was 105%, changed bare from 90% to 85%",NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1127,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,SEGI,Dead,Open,0,2.7,12.2,55,0,40,0,5,0,0,100,0,30,0.01,0,0,0,20,15,0,0,45,30,RUPA,RULE,NONE,NONE,Other,NA,FALSE,"ground cover total was 105%, changed lit from 60% to 55%; other in 2m not specified",NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1158,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,SEGI,Dead,Overtopped,0,2.4,13.4,40,0,55,0.01,5,0,0,100,0,25,5,0,0,0,20,5,0,0,25,30,CEIN,RULE,NONE,NONE,CEIN,NA,FALSE,"ground cover total was 110%, changed litt from 65% to 55%",NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1154,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,PIPO,Dead,Overtopped,0,2.8,13.1,5,0,80,0.01,0.01,15,0,100,0,10,0.01,0,0,0,10,0.01,0,0,35,10,CEIN,RUPA,NONE,NONE,CEIN,NA,FALSE,"ground cover total was 90%, changed litt from 70% to 80%",NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1128,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,PIPOJE,Dead,Overtopped,0,31,14,15,0,75,0.01,5,0,5,100,0,55,15,0.01,0,0,30,35,0,0,20,70,Other,CEIN,NONE,NONE,CEIN,NA,FALSE,other is not specified,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5442,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,SEGI,Dead,Open,NA,2.8,7.5,65,0,30,5,0.01,0,0,100,0,5,0,0,0,0,5,0.01,0,0,75,5,CECO,CEIN,NONE,NONE,CEIN,BROKEN TOP,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5970,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,PIPO,Dead,Overtopped,NA,2.7,15.7,20,0,80,0.01,0.01,0,0,100,0,30,0,0,0,0.01,0.01,30,0,0,60,30,RULE,CEIN,NONE,NONE,CEIN,NA,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5954,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,PILA,Dead,Open,NA,2.2,12.1,85,0,15,0,0.01,0,0,100,0,20,0.01,0,0,0,0.01,20,0,0,70,20,CEIN,CEPA,NONE,NONE,CEIN,LISTED AS 5954 - TAG # IS 5945,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5977,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,SEGI,Dead,Clump (open),NA,1.7,9.3,90,0,10,0.01,0.01,0,0,100,0,10,75,0,0,0,10,0.01,0,0,40,85,CEIN,CEPA,NONE,NONE,CEIN,NA,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1139,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,SEGI,Dead,Overtopped,NA,3,11.3,70,0,15,0.01,0.01,15,0,100,0,30,0,0,0,0,20,10,0,0,50,30,CEPA,COCO,NONE,NONE,CEIN,NA,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
